,order_number,order_date,customer_name,channel,product_name,order_quantity,unit_price,revenue,cost,state_code,county,state_name,region name,lat,budget
0,SO - 000225,2014-01-01,Rhynoodle Ltd,Wholesale,Product 27,6,2499.1,14994.599999999999,1824.3429999999998,GA,Chatham County,Georgia,Savannah,32.08354,
1,SO - 0003378,2014-01-01,Thoughtmix Ltd,Distributor,Product 20,11,2351.7000000000003,25868.700000000004,1269.9180000000001,IN,Johnson County,Indiana,Greenwood,39.61366,
2,SO - 0005126,2014-01-01,Amerisourc Corp,Wholesale,Product 26,6,978.2,5869.200000000001,684.74,CA,Alameda County,California,Pleasanton,37.66243,
3,SO - 0005614,2014-01-01,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.100000000002,1028.852,IN,Monroe County,Indiana,Bloomington,39.16533,
4,SO - 0005781,2014-01-01,Deseret Group,Wholesale,Product 8,8,2291.4,18331.2,1260.2700000000002,CT,Hartford County,Connecticut,Manchester,41.77524,
5,SO - 0010394,2014-01-01,Zoovu Corp,Export,Product 23,11,5219.3,57412.3,4332.019,MN,Hennepin County,Minnesota,Minnetonka,44.9133,
6,SO - 0008865,2014-01-01,Kare Corp,Wholesale,Product 1,7,2874.3,20120.100000000002,1667.094,MA,Norfolk County,Massachusetts,Brookline,42.32385,
7,SO - 0009909,2014-01-01,State Ltd,Wholesale,Product 25,10,1045.2,10452.0,679.3800000000001,CA,Los Angeles County,California,Pomona,34.05529,
8,SO - 0001912,2014-01-01,Lazzy Group,Wholesale,Product 13,5,3852.5,19262.5,2966.425,UT,Salt Lake County,Utah,South Jordan,40.56217,
9,SO - 0002683,2014-01-01,Zooveo Company,Export,Product 14,12,2914.5,34974.0,1311.525,NC,Alamance County/Guilford County,North Carolina,Burlington,36.07613,
10,SO - 0004272,2014-01-01,Nexus Group,Wholesale,Product 26,11,2257.9,24836.9,1196.6870000000001,IN,Monroe County,Indiana,Perry,39.11904,
11,SO - 0004580,2014-01-01,Jayo Company,Export,Product 4,5,1232.8,6164.0,628.728,IL,Kendall County/Kane County/Will County/DuPage County,Illinois,Aurora,41.76346,
12,SO - 0004646,2014-01-01,Jabbercube Corp,Wholesale,Product 25,5,3859.2000000000003,19296.0,2855.808,CA,Riverside County,California,Indio,33.72058,
13,SO - 0007608,2014-01-01,Eire Corp,Distributor,Product 15,10,1983.2,19832.0,1606.392,OH,Montgomery County,Ohio,Dayton,39.75895,
14,SO - 0007951,2014-01-01,Muxo Group,Distributor,Product 3,7,167.5,1172.5,135.675,IL,Kane County,Illinois,St. Charles (Township),41.94151,
15,SO - 0001068,2014-01-01,Fatz Group,Export,Product 10,11,924.6,10170.6,656.466,NY,Suffolk County,New York,Islip,40.71258,
16,SO - 0002010,2014-01-01,WOCKHARDT Group,Distributor,Product 11,11,1045.2,11497.2,543.504,MI,Clinton County/Ingham County/Eaton County,Michigan,Lansing,42.71434,
17,SO - 0002504,2014-01-01,Colgate-Pa Group,Export,Product 27,11,1976.5,21741.5,790.6,PA,Allegheny County,Pennsylvania,Pittsburgh,40.44062,
18,SO - 0009931,2014-01-01,sanofi-ave Group,Wholesale,Product 13,6,6525.8,39154.8,3589.1900000000005,AZ,Maricopa County,Arizona,Buckeye,33.37032,
19,SO - 0009346,2014-01-01,CLINIQUE Ltd,Wholesale,Product 13,7,1011.7,7081.900000000001,839.711,CA,Solano County,California,Vallejo,38.10409,
20,SO - 0002468,2014-01-01,Roberts Company,Wholesale,Product 5,8,1983.2,15865.6,1348.576,CA,Los Angeles County,California,Diamond Bar,34.02862,
21,SO - 0003850,2014-01-01,Epic Group,Wholesale,Product 13,6,2653.2000000000003,15919.2,1485.7920000000004,CA,Orange County,California,Huntington Beach,33.6603,
22,SO - 0006279,2014-01-01,SAFEWAY Ltd,Distributor,Product 4,7,3845.8,26920.600000000002,1538.3200000000002,FL,Polk County/Osceola County,Florida,Poinciana,28.11873,
23,SO - 0006313,2014-01-01,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,CA,Orange County,California,Mission Viejo,33.60002,
24,SO - 0010604,2014-01-01,Realbridge Corp,Wholesale,Product 19,11,5078.6,55864.600000000006,4113.666,AL,Lee County,Alabama,Auburn,32.60986,
25,SO - 0008840,2014-01-01,Actavis Company,Distributor,Product 2,7,844.2,5909.400000000001,616.266,LA,Jefferson Parish,Louisiana,Metairie,29.984090000000002,
26,SO - 0004336,2014-01-01,Mita Corp,Export,Product 14,9,268.0,2412.0,227.79999999999998,NC,Durham County/Orange County,North Carolina,Chapel Hill,35.92812,
27,SO - 0005121,2014-01-01,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.600000000006,4090.752,MA,Middlesex County,Massachusetts,Cambridge,42.3751,
28,SO - 0010233,2014-01-01,Jayo Company,Distributor,Product 2,7,3899.4,27295.8,1598.754,PA,Lancaster County,Pennsylvania,Lancaster,40.03788,
29,SO - 0002206,2014-01-01,General Company,Wholesale,Product 16,8,174.20000000000002,1393.6000000000001,109.74600000000001,CA,San Diego County,California,Encinitas,33.03699,
30,SO - 0002543,2014-01-01,Terumo Corp,Export,Product 14,9,3644.8,32803.200000000004,2587.808,CA,Los Angeles County,California,Santa Monica,34.01945,
31,SO - 0002921,2014-01-01,Bluezoom Group,Wholesale,Product 26,10,5875.900000000001,58759.00000000001,4289.407,NH,Hillsborough County,New Hampshire,Manchester,42.99564,
32,SO - 0003715,2014-01-01,US Ltd,Wholesale,Product 26,10,1085.4,10854.0,857.4660000000001,IL,Winnebago County/Ogle County,Illinois,Rockford,42.25884,
33,SO - 0004471,2014-01-01,Accudial Company,Wholesale,Product 14,12,2237.8,26853.600000000002,939.8760000000001,GA,Richmond County,Georgia,Augusta,33.36149,
34,SO - 0004751,2014-01-01,Aveda Group,Distributor,Product 8,9,1172.5,10552.5,515.9,CA,Riverside County,California,Perris,33.78252,
35,SO - 0006833,2014-01-01,BB17 Company,Export,Product 4,7,2613.0,18291.0,2142.66,NJ,Morris County,New Jersey,Parsippany-Troy Hills,40.85964,
36,SO - 0008532,2014-01-01,Wordware Company,Wholesale,Product 5,11,938.0,10318.0,675.36,UT,Davis County,Utah,Layton,41.06022,
37,SO - 0010560,2014-01-01,Aromaticos Company,Export,Product 16,6,2994.9,17969.4,2455.8179999999998,KY,Jefferson County,Kentucky,Louisville,38.25424,
38,SO - 0003527,2014-01-02,Amerisourc Corp,Wholesale,Product 18,11,1701.8,18719.8,1429.512,CA,Alameda County,California,Fremont,37.54827,
39,SO - 0003901,2014-01-02,Yodoo Ltd,Wholesale,Product 25,5,1728.6000000000001,8643.0,1019.874,NY,Westchester County,New York,New Rochelle,40.91149,
