,OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Names,Product Name,Region Name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone,State
0,SO - 000225,2014-01-01,126,Wholesale,USD,AXW291,364,27,6,2499.1,14994.599999999999,1824.3429999999998,Rhynoodle Ltd,Product 27,Savannah,Chatham County,GA,Georgia,City,32.08354,-81.09983,912,145674,52798,36466,268318796,13908113,America/New York,Georgia
1,SO - 0003378,2014-01-01,96,Distributor,USD,AXW291,488,20,11,2351.7000000000003,25868.700000000004,1269.9180000000001,Thoughtmix Ltd,Product 20,Greenwood,Johnson County,IN,Indiana,City,39.61366,-86.10665,317,55586,20975,54176,72276415,1883,America/Indiana/Indianapolis,Indiana
2,SO - 0005126,2014-01-01,8,Wholesale,USD,AXW291,155,26,6,978.2,5869.200000000001,684.74,Amerisourc Corp,Product 26,Pleasanton,Alameda County,CA,California,City,37.66243,-121.87468,925,79510,26020,124759,62489257,386195,America/Los Angeles,California
3,SO - 0005614,2014-01-01,42,Export,USD,AXW291,473,7,7,2338.3,16368.100000000002,1028.852,Colgate-Pa Group,Product 7,Bloomington,Monroe County,IN,Indiana,City,39.16533,-86.52639,812,84067,30232,30019,60221613,475857,America/Indiana/Indianapolis,Indiana
4,SO - 0005781,2014-01-01,73,Wholesale,USD,AXW291,256,8,8,2291.4,18331.2,1260.2700000000002,Deseret Group,Product 8,Manchester,Hartford County,CT,Connecticut,Town,41.77524,-72.52443,959,58007,24141,63158,70972793,720300,America/New York,Connecticut
5,SO - 0010394,2014-01-01,138,Export,USD,NXH382,626,23,11,5219.3,57412.3,4332.019,Zoovu Corp,Product 23,Minnetonka,Hennepin County,MN,Minnesota,City,44.9133,-93.50329,952,51669,22676,78589,69730100,5587760,America/Chicago,Minnesota
6,SO - 0008865,2014-01-01,53,Wholesale,USD,GUT930,540,1,7,2874.3,20120.100000000002,1667.094,Kare Corp,Product 1,Brookline,Norfolk County,MA,Massachusetts,Town,42.32385,-71.142,857,59195,25324,95518,17508399,184972,America/New York,Massachusetts
7,SO - 0009909,2014-01-01,45,Wholesale,USD,AXW291,156,25,10,1045.2,10452.0,679.3800000000001,State Ltd,Product 25,Pomona,Los Angeles County,CA,California,City,34.05529,-117.75228,909,153266,39378,49186,59446734,26188,America/Los Angeles,California
8,SO - 0001912,2014-01-01,85,Wholesale,USD,AXW291,934,13,5,3852.5,19262.5,2966.425,Lazzy Group,Product 13,South Jordan,Salt Lake County,UT,Utah,City,40.56217,-111.92966,385,66648,16748,94183,57533764,228038,America/Denver,Utah
9,SO - 0002683,2014-01-01,125,Export,USD,AXW291,652,14,12,2914.5,34974.0,1311.525,Zooveo Company,Product 14,Burlington,Alamance County/Guilford County,NC,North Carolina,City,36.07613,-79.4683,336,52472,21562,36140,75533002,3947235,America/New York,North Carolina
10,SO - 0004272,2014-01-01,13,Wholesale,USD,FLR025,504,26,11,2257.9,24836.9,1196.6870000000001,Nexus Group,Product 26,Perry,Monroe County,IN,Indiana,Township,39.11904,-86.51979,812,53382,22213,43799,91577113,280736,America/Indiana/Indianapolis,Indiana
11,SO - 0004580,2014-01-01,130,Export,USD,NXH382,389,4,5,1232.8,6164.0,628.728,Jayo Company,Product 4,Aurora,Kendall County/Kane County/Will County/DuPage County,IL,Illinois,City,41.76346,-88.2901,630,200661,61449,63090,116273603,2278285,America/Chicago,Illinois
12,SO - 0004646,2014-01-01,148,Wholesale,USD,GUT930,107,25,5,3859.2000000000003,19296.0,2855.808,Jabbercube Corp,Product 25,Indio,Riverside County,CA,California,City,33.72058,-116.21556,760,87533,26144,50525,86057044,20661,America/Los Angeles,California
13,SO - 0007608,2014-01-01,4,Distributor,USD,NXH382,781,15,10,1983.2,19832.0,1606.392,Eire Corp,Product 15,Dayton,Montgomery County,OH,Ohio,City,39.75895,-84.19161,937,140599,57316,27683,144197693,2208312,America/New York,Ohio
14,SO - 0007951,2014-01-01,123,Distributor,USD,NXH382,458,3,7,167.5,1172.5,135.675,Muxo Group,Product 3,St. Charles (Township),Kane County,IL,Illinois,Township,41.94151,-88.321,630,51812,18766,92472,90236917,1907075,America/Chicago,Illinois
15,SO - 0001068,2014-01-01,64,Export,USD,FLR025,750,10,11,924.6,10170.6,656.466,Fatz Group,Product 10,Islip,Suffolk County,NY,New York,Town,40.71258,-73.19552,631,336113,101387,86864,268844871,153259682,America/New York,New York
16,SO - 0002010,2014-01-01,109,Distributor,USD,NXH382,594,11,11,1045.2,11497.2,543.504,WOCKHARDT Group,Product 11,Lansing,Clinton County/Ingham County/Eaton County,MI,Michigan,City,42.71434,-84.55928,517,115056,48414,35563,101329851,1640233,America/Detroit,Michigan
17,SO - 0002504,2014-01-01,42,Export,USD,FLR025,829,27,11,1976.5,21741.5,790.6,Colgate-Pa Group,Product 27,Pittsburgh,Allegheny County,PA,Pennsylvania,City,40.44062,-79.99589,412,304391,132468,40715,143423857,7692318,America/New York,Pennsylvania
